City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,kamaishi,39.2667,141.8833,2.91,62,100,1.84,JP,1675482892
173,anse-bertrand,16.4721,-61.5078,23.9,100,8,8.87,GP,1675482892
174,brigantine,39.4101,-74.3646,-6.89,38,0,10.29,US,1675482893
175,thinadhoo,0.5333,72.9333,27.02,71,31,6.57,MV,1675482893
176,kiama,-34.6833,150.8667,26.88,36,0,7.6,AU,1675482893
177,tipuani,-15.5648,-68.0185,20.07,99,100,0.12,BO,1675482894
178,yamada,39.4667,141.95,3.13,55,94,1.6,JP,1675482894
179,provideniya,64.3833,-173.3,-23.72,90,53,5.75,RU,1675482850
180,cairns,-16.9167,145.7667,32.84,76,92,3.09,AU,1675482366
181,melville,40.7934,-73.4151,-11.03,40,75,7.72,US,1675482895
182,port moresby,-9.4431,147.1797,28.68,74,40,3.09,PG,1675482733
183,dingle,10.9995,122.6711,28.1,74,88,6.35,PH,1675482295
184,victoria,22.2855,114.1577,18.87,83,100,5.36,HK,1675482811
185,henties bay,-22.116,14.2845,17.51,87,100,2.19,NA,1675482872
186,seydisehir,37.4193,31.8453,-1.91,96,94,1.27,TR,1675482896
187,saint-joseph,-21.3667,55.6167,25.21,84,59,4.97,RE,1675482831
188,oum hadjer,13.2954,19.6966,21.36,17,97,3.66,TD,1675482896
189,esperance,-33.8667,121.9,24.54,50,13,5.9,AU,1675482897
190,ustye,59.6304,39.736,-5.5,97,100,2.39,RU,1675482897
191,chiredzi,-21.05,31.6667,21.84,84,67,3.17,ZW,1675482897
192,butaritari,3.0707,172.7902,27.68,79,9,7.86,KI,1675482819
193,srisailam,16.0833,78.8667,25.86,44,5,2.13,IN,1675482882
194,kaitangata,-46.2817,169.8464,22.87,64,23,3.46,NZ,1675482849
195,port shepstone,-30.7414,30.455,21.55,86,38,2.38,ZA,1675482898
196,san policarpo,12.1791,125.5072,27.0,81,98,6.75,PH,1675482898
197,bethel,41.3712,-73.414,-11.95,69,100,6.69,US,1675482899
198,itinga,-16.6131,-41.7653,23.54,72,43,1.16,BR,1675482899
199,padang,-0.9492,100.3543,29.03,65,100,1.6,ID,1675482351
200,lorengau,-2.0226,147.2712,28.21,72,98,1.25,PG,1675482871
201,tagusao,9.1924,117.8141,28.62,66,98,2.72,PH,1675482900
202,enid,36.3956,-97.8784,5.6,71,0,6.69,US,1675482900
203,maragogi,-9.0122,-35.2225,26.08,70,75,2.87,BR,1675482901
204,drayton valley,53.2168,-114.9854,-0.93,99,100,1.81,CA,1675482900
205,biguacu,-27.4942,-48.6556,25.56,92,99,0.18,BR,1675482909
206,taoudenni,22.6783,-3.9836,12.51,30,99,4.5,ML,1675482913
207,svetlogorsk,52.6333,29.7333,-6.15,89,97,2.42,BY,1675482917
208,wanning,18.8003,110.3967,23.53,83,91,3.67,CN,1675482955
209,semey,50.4111,80.2275,-13.88,78,75,3.0,KZ,1675482955
210,yumen,40.2833,97.2,-2.58,34,98,0.99,CN,1675482845
211,raudeberg,61.9875,5.1352,2.37,61,100,9.54,NO,1675482956
212,bhainsdehi,21.6467,77.6325,21.75,16,11,0.58,IN,1675482956
213,guerrero negro,27.9769,-114.0611,15.56,63,100,5.44,MX,1675482957
214,tetouan,35.5711,-5.3724,12.43,62,0,5.14,MA,1675482957
215,tongling,30.95,117.7833,10.34,59,3,5.21,CN,1675482958
216,miranda,3.2499,-76.2281,22.07,88,55,2.19,CO,1675482958
217,araouane,18.9048,-3.5265,11.48,24,75,4.91,ML,1675482959
218,aksu,41.1231,80.2644,-3.37,81,91,1.69,CN,1675482959
219,plettenberg bay,-34.0527,23.3716,19.35,87,1,1.9,ZA,1675482959
220,huilong,31.8111,121.655,7.15,51,0,3.74,CN,1675482960
221,port-gentil,-0.7193,8.7815,27.25,80,38,3.66,GA,1675482960
222,bonfim,3.0833,-59.95,24.5,78,49,4.52,BR,1675482961
223,georgetown,5.4112,100.3354,29.96,79,20,1.54,MY,1675482652
224,bermejillo,25.8833,-103.6167,12.8,34,0,3.5,MX,1675482963
225,bagdarin,54.4333,113.6,-14.51,68,6,1.6,RU,1675482964
226,acapulco,16.8634,-99.8901,26.9,78,20,1.54,MX,1675482680
227,emerald,-23.5333,148.1667,31.86,42,31,5.91,AU,1675482971
228,ludvika,60.1496,15.1878,-9.11,96,45,1.57,SE,1675482974
229,piano di sorrento,40.631,14.416,12.07,92,99,0.89,IT,1675482977
230,obo,5.3998,26.4869,19.84,23,89,2.39,CF,1675482995
231,leningradskiy,69.3833,178.4167,-32.0,99,100,0.81,RU,1675482827
232,disa,24.25,72.1667,22.26,26,0,1.8,IN,1675482998
233,saldanha,-33.0117,17.9442,16.03,88,0,1.14,ZA,1675482998
234,high level,58.5169,-117.136,-14.94,78,100,2.06,CA,1675482914
235,ghansor,22.65,79.95,20.49,21,9,2.11,IN,1675482999
236,saint-georges,12.0564,-61.7485,25.82,78,75,5.14,GD,1675482882
237,adrar,20.5022,-10.0711,12.19,14,99,4.98,MR,1675482999
238,syracuse,37.0881,15.2792,7.77,70,0,3.57,IT,1675482815
239,marawi,7.9986,124.2928,24.99,65,100,2.8,PH,1675483000
240,funtua,11.5233,7.3081,18.54,26,57,4.0,NG,1675483000
241,honiara,-9.4333,159.95,29.0,80,62,0.76,SB,1675483000
242,east wenatchee bench,47.4257,-120.2812,2.6,77,0,1.54,US,1675483001
243,vila do maio,15.1333,-23.2167,20.44,71,100,8.36,CV,1675483001
244,mehamn,71.0357,27.8492,-4.03,80,100,7.2,NO,1675482844
245,bandarbeyla,9.4942,50.8122,23.97,64,71,8.59,SO,1675483002
246,beringovskiy,63.05,179.3167,-24.39,95,100,6.3,RU,1675482403
247,prince george,53.9166,-122.753,0.9,97,75,2.06,CA,1675482752
248,ribeira grande,38.5167,-28.7,16.54,94,100,5.81,PT,1675482824
249,geraldton,-28.7667,114.6,33.23,33,12,10.8,AU,1675483002
250,ketchikan,55.3422,-131.6461,5.99,93,100,0.0,US,1675482868
251,harper,4.375,-7.7169,25.91,86,8,2.64,LR,1675483003
252,artesia,33.8658,-118.0831,17.15,61,0,3.6,US,1675483003
253,sangar,63.9242,127.4739,-24.26,88,100,2.52,RU,1675483004
